,Points
University of Warwick,284.74779577148
Staffordshire University,233.4401034637877
University of Bristol,207.7862573099415
University of Liverpool,196.69736842105263
University of Portsmouth,187.14658119658122
Cardiff University,172.58162393162394
University of Exeter,169.54858299595142
University of Lincoln,166.07251461988307
University of Southampton,161.49273504273503
Durham University,161.49273504273503
Swansea University,154.98362573099416
University of the West of England,154.98362573099416
University of Sheffield,150.40384615384616
Oxford University,150.40384615384616
University of Glasgow,148.9089068825911
University of Bath,143.89473684210526
University of Hull,135.8388888888889
Lancaster University,124.75
Manchester Metropolitan University,119.77899235267657
University of Sussex,108.69010346378768
Teesside University,108.69010346378768
University of Kent,108.69010346378768
University of York,108.69010346378768
Nottingham Trent University,108.69010346378768
University of Abertay Dundee,97.60121457489879
University of Plymouth,97.60121457489879
University of East Anglia,97.60121457489879
University of Dundee,97.60121457489879
University of Leeds,97.60121457489879
University of Essex,83.03625730994152
University of Manchester,83.03625730994152
University of Birmingham,83.03625730994152
Newcastle University,76.96153846153845
University of Cambridge,71.94736842105263
King's College London,71.94736842105263
University of Nottingham,71.94736842105263
Leeds Beckett University,71.94736842105263
Glasgow Caledonian University,71.94736842105263
"Royal Holloway, University of London",71.94736842105263
University of Strathclyde,71.94736842105263
Keele University,71.94736842105263
Sheffield Hallam University,71.94736842105263
FXU (Falmouth &amp; Exeter Student's Union),58.92051282051282
Bournemouth University,51.30769230769231
Birmingham City University,47.83162393162393
Bangor University,36.74273504273504
Bath Spa University,36.74273504273504
York St John University,36.74273504273504
University of Surrey,36.74273504273504
University of Northampton,36.74273504273504
Brunel University,25.653846153846153
University College London,25.653846153846153
Roehampton University,25.653846153846153
University of Edinburgh,25.653846153846153
Queen's University Belfast,25.653846153846153
Queen Mary University of London,25.653846153846153
Aberystwyth University,25.653846153846153
University of Salford,25.653846153846153
De Montfort University,25.653846153846153
Imperial College London,25.653846153846153
University of Chichester,25.653846153846153
Heriot-Watt University,25.653846153846153
University of Leicester,25.653846153846153
University of Derby,25.653846153846153
Southampton Solent University,11.088888888888889
University of Westminster,11.088888888888889
Northumbria University,11.088888888888889
University of Bedfordshire,11.088888888888889
College of Esports,11.088888888888889
University of West London,11.088888888888889
University of Huddersfield,11.088888888888889
Liverpool John Moores University,11.088888888888889
University of the Arts London,11.088888888888889
Coventry University,11.088888888888889
University of Sunderland,11.088888888888889
Leeds Conservatoire,11.088888888888889
