,Team Name,Team url,University,Seeds
65,Jhinchester...,/tournaments/league-of-legends-winter-22-south/teams/jhinchester-jharriors/matches,University of Winchester,53.0
66,Match #90961 Loser,,,
67,Match #90960 Loser,,,
68,Swansea Little...,/tournaments/league-of-legends-winter-22-south/teams/swansea-little-pogchamps/matches,Swansea University,68.0
69,Iron Forged,/tournaments/league-of-legends-winter-22-south/teams/ironforged/matches,University of Kent,69.0
70,Feral Warwick,/tournaments/league-of-legends-winter-22-south/teams/feral-warwick/matches,University of Warwick,40.0
71,Iron Swan Wings_ISW,/tournaments/league-of-legends-winter-22-south/teams/iron-swan-wingsisw/matches,Swansea University,43.0
72,OBG Cassiopias boots,/tournaments/league-of-legends-winter-22-south/teams/obg-cassiopias-boots/matches,Oxford Brookes University,45.0
73,GrindSett,/tournaments/league-of-legends-winter-22-south/teams/grindsett/matches,University of Hertfordshire,76.0
74,Silver Warriors,/tournaments/league-of-legends-winter-22-south/teams/silver-warriors/matches,Brunel University,89.0
75,No Aim No Brain,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-2/matches,University of Plymouth,94.0
76,Solent Crackheads,/tournaments/league-of-legends-winter-22-south/teams/solent-crackheads/matches,Southampton Solent University,71.0
77,Tech Park Tyrants,/tournaments/league-of-legends-winter-22-south/teams/tech-park-tyrants/matches,University of Chichester,70.0
78,Essex Team 2,/tournaments/league-of-legends-winter-22-south/teams/essex-team-2/matches,University of Essex,81.0
79,Surrely we wont lose,/tournaments/league-of-legends-winter-22-south/teams/surrely-we-wont-lose/matches,University of Surrey,57.0
80,Oxford Integrals,/tournaments/league-of-legends-winter-22-south/teams/oxford-integrals/matches,Oxford University,39.0
81,Roehampton Gnomes,/tournaments/league-of-legends-winter-22-south/teams/roehampton-gnomes/matches,Roehampton University,84.0
82,Team 165,,,
83,For Fun Warwick,/tournaments/league-of-legends-winter-22-south/teams/for-fun-warwick/matches,University of Warwick,66.0
84,Crazy Big Damage,/tournaments/league-of-legends-winter-22-south/teams/svge-team-6/matches,University of Southampton,56.0
85,UWL Wyverns,/tournaments/league-of-legends-winter-22-south/teams/uwl-wyverns/matches,University of West London,82.0
86,OrnnHub,/tournaments/league-of-legends-winter-22-south/teams/ornnhub/matches,"Royal Holloway, University of London",88.0
87,Marauder Warwick,/tournaments/league-of-legends-winter-22-south/teams/marauder-warwick/matches,University of Warwick,60.0
88,Falmouth Phoenix...,/tournaments/league-of-legends-winter-22-south/teams/falmouth-phoenix-turtle-/matches,FXU (Falmouth &amp; Exeter Student's Union),91.0
89,UAL UNICORNS 2,/tournaments/league-of-legends-winter-22-south/teams/ual-unicorns-2/matches,University of the Arts London,78.0
90,Cardiff Conquerors,/tournaments/league-of-legends-winter-22-south/teams/team-4/matches,Cardiff University,77.0
91,Falmouth Phoenix...,/tournaments/league-of-legends-winter-22-south/teams/falmouth-phoenix-tiger/matches,FXU (Falmouth &amp; Exeter Student's Union),90.0
92,Team 185,,,
93,Team 1,/tournaments/league-of-legends-winter-22-south/teams/team-1/matches,King's College London,94.0
94,Liiv Sandbrum,/tournaments/league-of-legends-winter-22-north/teams/liiv-sandbrum/matches,University of Birmingham,8.0
95,STAGS,/tournaments/league-of-legends-winter-22-north/teams/stags/matches,University of St Andrews,14.0
96,Team 5,,,
97,McDonalds Esports,/tournaments/league-of-legends-winter-22-north/teams/mcdonalds-esports/matches,Lancaster University,7.0
98,UEA Bluejays 2023,/tournaments/league-of-legends-winter-22-north/teams/uea-bluejays-2023/matches,University of East Anglia,12.0
99,Kited By Scuttle,/tournaments/league-of-legends-winter-22-north/teams/kited-by-scuttle/matches,University of York,13.0
100,Match #90903 Winner,,,
101,Aston Esports 2,/tournaments/league-of-legends-winter-22-north/teams/aston-esports-2/matches,Aston University,19.0
102,Match #90905 Winner,,,
103,Liverpool party,/tournaments/league-of-legends-winter-22-north/teams/liverpool-party/matches,University of Liverpool,9.0
104,Caster Minions,/tournaments/league-of-legends-winter-22-north/teams/caster-minions/matches,Lancaster University,22.0
105,Team 23,,,
106,UoM Thirds,/tournaments/league-of-legends-winter-22-north/teams/uom-thirds/matches,University of Manchester,10.0
107,Chicken Broth,/tournaments/league-of-legends-winter-22-north/teams/chicken-broth/matches,University of Manchester,5.0
108,Match #90905 Loser,,,
109,Leeds Never Give Up,/tournaments/league-of-legends-winter-22-north/teams/leeds-never-give-up/matches,University of Leeds,2.0
110,Match #90903 Loser,,,
111,NUEL Nottingham Team,/tournaments/league-of-legends-winter-22-north/teams/nuel-nottingham-team/matches,University of Nottingham,16.0
112,Broken Stopwatch,/tournaments/league-of-legends-winter-22-north/teams/broken-stopwatch/matches,University of Leeds,17.0
113,Watt Wyverns,/tournaments/league-of-legends-winter-22-north/teams/watt-wyverns-/matches,Heriot-Watt University,15.0
114,Apokalypsis,/tournaments/league-of-legends-winter-22-north/teams/apokalypsis/matches,University of Huddersfield,3.0
115,BCU Gaming,/tournaments/league-of-legends-winter-22-north/teams/bcu-gaming/matches,Birmingham City University,29.0
116,Match #90912 Winner,,,
117,Pier Thressure,/tournaments/league-of-legends-winter-22-north/teams/pier-thressure/matches,Aberystwyth University,30.0
118,Army of the...,/tournaments/league-of-legends-winter-22-north/teams/army-of-the-teenytiny-queen/matches,University of Birmingham,26.0
119,Bussin Bussin On...,/tournaments/league-of-legends-winter-22-north/teams/bussin-bussin-on-god-on-god-123-a/matches,University of Hull,21.0
120,Abrahams Beard,/tournaments/league-of-legends-winter-22-north/teams/abrahams-beard/matches,University of Lincoln,49.0
121,DMU Drakes,/tournaments/league-of-legends-winter-22-north/teams/dmu-drakes/matches,De Montfort University,25.0
122,Team 57,,,
123,Poro Penguins,/tournaments/league-of-legends-winter-22-north/teams/poro-penguins-/matches,Nottingham Trent University,48.0
124,Glasgow...,/tournaments/league-of-legends-winter-22-north/teams/glasgow--floormunchers/matches,University of Glasgow,53.0
125,Sultans Esports,/tournaments/league-of-legends-winter-22-north/teams/sultans-esports/matches,Lancaster University,24.0
126,My Beautiful Dark...,/tournaments/league-of-legends-winter-22-north/teams/my-beautiful-dark-twisted-krug/matches,Lancaster University,20.0
127,AstonApesLOLY,/tournaments/league-of-legends-winter-22-north/teams/astonapeslol/matches,Aston University,6.0
128,Match #90912 Loser,,,
129,Next Generation...,/tournaments/league-of-legends-winter-22-north/teams/next-generation-gaming-/matches,Staffordshire University,41.0
130,Saigon Buffalo,/tournaments/league-of-legends-winter-22-north/teams/saigon-buffalo-/matches,Durham University,34.0
131,Keele Diff,/tournaments/league-of-legends-winter-22-north/teams/keele-diff/matches,Keele University,35.0
132,DMU Team 1,/tournaments/league-of-legends-winter-22-north/teams/dmu-team-1/matches,De Montfort University,37.0
133,Aston Esports 3,/tournaments/league-of-legends-winter-22-north/teams/aston-esports-3/matches,Aston University,62.0
134,Salford Kings UwU,/tournaments/league-of-legends-winter-22-north/teams/salford-kings-uwu/matches,University of Salford,38.0
135,Durham Dubs,/tournaments/league-of-legends-winter-22-north/teams/durham-dubs/matches,Durham University,40.0
136,QUB Cardinal,/tournaments/league-of-legends-winter-22-north/teams/qub-cardinal/matches,Queen's University Belfast,33.0
137,Match #90922 Winner,,,
138,LongDong Silvers,/tournaments/league-of-legends-winter-22-north/teams/longdong-silvers/matches,University of York,43.0
139,Fortnite Battle Pass,/tournaments/league-of-legends-winter-22-north/teams/fortnite-battle-pass/matches,University of Lincoln,46.0
140,StAGS II,/tournaments/league-of-legends-winter-22-north/teams/stags-ii/matches,University of St Andrews,54.0
141,Hallam Inters 2023,/tournaments/league-of-legends-winter-22-north/teams/hallam-inters-2023/matches,Sheffield Hallam University,49.0
142,Team Pocket Yummi...,/tournaments/league-of-legends-winter-22-north/teams/team-pocket-yummi-jungle/matches,Liverpool John Moores University,23.0
143,Team 99,,,
144,Team TeamO,/tournaments/league-of-legends-winter-22-north/teams/team-teamo/matches,Nottingham Trent University,72.0
145,noob team,/tournaments/league-of-legends-winter-22-north/teams/noob-team/matches,Teesside University,27.0
146,SHUUUUUUUUUU,/tournaments/league-of-legends-winter-22-north/teams/shuuuuuuuuuu/matches,Sheffield Hallam University,50.0
147,DeMoted,/tournaments/league-of-legends-winter-22-north/teams/demoted/matches,De Montfort University,55.0
148,ORNNly Fans Esport,/tournaments/league-of-legends-winter-22-north/teams/ornnly-fans-esport/matches,University of Leeds,75.0
149,Match #90922 Loser,,,
150,VI AYE MAN,/tournaments/league-of-legends-winter-22-north/teams/vi-aye-man/matches,Newcastle University,56.0
151,Northumbria...,/tournaments/league-of-legends-winter-22-north/teams/northumbria-vikings-2022/matches,Northumbria University,36.0
152,Staffs Silver...,/tournaments/league-of-legends-winter-22-north/teams/staffs-silver-surfers-/matches,Staffordshire University,58.0
153,Bust a nott,/tournaments/league-of-legends-winter-22-north/teams/bust-a-nott/matches,University of Nottingham,71.0
154,League Rehab,/tournaments/league-of-legends-winter-22-north/teams/league-rehab-/matches,Edge Hill University,60.0
155,Lincoln League,/tournaments/league-of-legends-winter-22-north/teams/lincoln-league/matches,University of Lincoln,61.0
156,Spreadsheet Esports,/tournaments/league-of-legends-winter-22-north/teams/spreadsheet-esports/matches,University of Leeds,67.0
157,Rubber Turkeys,/tournaments/league-of-legends-winter-22-north/teams/rubber-turkeys/matches,Nottingham Trent University,66.0
158,Bangor Team 1,/tournaments/league-of-legends-winter-22-north/teams/bangor-team-1/matches,Bangor University,45.0
159,Team 131,,,
160,Gromp Gang,/tournaments/league-of-legends-winter-22-north/teams/gromp-gang-/matches,Durham University,44.0
161,Abertay Alliance,/tournaments/league-of-legends-winter-22-north/teams/abertay-alliance/matches,University of Abertay Dundee,63.0
162,NottVeryGood,/tournaments/league-of-legends-winter-22-north/teams/nottverygood/matches,University of Nottingham,57.0
163,Keele Commodores,/tournaments/league-of-legends-winter-22-north/teams/keele-commodores-/matches,Keele University,73.0
164,Leeds Beckett Bears,/tournaments/league-of-legends-winter-22-north/teams/leeds-beckett-bears/matches,Leeds Beckett University,65.0
165,Red Ryze Conspiracy,/tournaments/league-of-legends-winter-22-north/teams/red-ryze-conspiracy/matches,Loughborough University,74.0
166,Team 145,,,
167,Watt Wyverns Team 3,/tournaments/league-of-legends-winter-22-north/teams/watt-wyverns-team-3/matches,Heriot-Watt University,68.0
168,UoMT1,/tournaments/league-of-legends-winter-22-national/teams/uomt1/matches,University of Manchester,1.0
169,Keele Krakens,/tournaments/league-of-legends-winter-22-national/teams/keele-krakens/matches,Keele University,7.0
170,Bristol Bottoms,/tournaments/league-of-legends-winter-22-national/teams/bristol-bottoms/matches,University of Bristol,6.0
171,Match #90360 Winner,,,
172,Match #90360 Loser,,,
173,Always preferred...,/tournaments/league-of-legends-winter-22-national/teams/always-preferred-dota-2/matches,University of Leeds,3.0
174,white foxxx,/tournaments/league-of-legends-winter-22-national/teams/white-foxxx/matches,University of Glasgow,31.0
175,The Germs,/tournaments/league-of-legends-winter-22-national/teams/the-germs/matches,University of Kent,8.0
176,Definitely Not...,/tournaments/league-of-legends-winter-22-national/teams/definitely-not-warwick/matches,University of Warwick,24.0
177,Queens Finest,/tournaments/league-of-legends-winter-22-national/teams/queens-finest/matches,University of Lincoln,23.0
178,SVGE Team 2,/tournaments/league-of-legends-winter-22-national/teams/svge-team-2/matches,University of Southampton,22.0
179,KFC,/tournaments/league-of-legends-winter-22-national/teams/kfc/matches,Lancaster University,5.0
180,Roehampton Fairies,/tournaments/league-of-legends-winter-22-national/teams/roehampton-fairies/matches,Roehampton University,20.0
181,samj1046,/tournaments/league-of-legends-winter-22-national/teams/samj1046/matches,De Montfort University,13.0
182,Match #90367 Winner,,,
183,Grey Warwick,/tournaments/league-of-legends-winter-22-national/teams/grey-warwick/matches,University of Warwick,2.0
184,Jheigar,/tournaments/league-of-legends-winter-22-national/teams/jheigar/matches,University of Southampton,16.0
185,Match #90367 Loser,,,
186,APT,/tournaments/league-of-legends-winter-22-national/teams/apt/matches,London School of Economics,14.0
187,Tree House,/tournaments/league-of-legends-winter-22-national/teams/tree-house/matches,Staffordshire University,19.0
188,Ladcaster,/tournaments/league-of-legends-winter-22-national/teams/ladcaster/matches,Lancaster University,11.0
189,Kent Cuties,/tournaments/league-of-legends-winter-22-national/teams/kent-cuties/matches,University of Kent,12.0
190,Leicester Lobsters,/tournaments/league-of-legends-winter-22-national/teams/leicester-lobsters/matches,University of Leicester,25.0
191,UCL Exodus,/tournaments/league-of-legends-winter-22-national/teams/ucl/matches,University College London,10.0
192,Match #90369 Winner,,,
193,Westminster...,/tournaments/league-of-legends-winter-22-national/teams/westminster-dragons-party/matches,University of Westminster,26.0
194,Demolition,/tournaments/league-of-legends-winter-22-national/teams/demolition/matches,University of Hertfordshire,30.0
195,The Staffordshire...,/tournaments/league-of-legends-winter-22-national/teams/the-staffordshire-sixes/matches,Staffordshire University,29.0
196,Alis acrack addicts,/tournaments/league-of-legends-winter-22-national/teams/alis-acrack-addicts/matches,University of Bath,28.0
197,ICUU,/tournaments/league-of-legends-winter-22-national/teams/icuu/matches,University of Sheffield,27.0
198,Kent Berserkes,/tournaments/league-of-legends-winter-22-national/teams/kent-berserkes/matches,University of Kent,18.0
199,Match #90369 Loser,,,
