,Team Name,Team url,University,Seeds
54,Rush Bee,/tournaments/csgo-winter-22/teams/rush-bee/matches,University of Manchester,46.0
55,Edinburgh Eclipse,/tournaments/csgo-winter-22/teams/edinburgh-eclipse/matches,University of Edinburgh,58.0
56,Kindred Reborn,/tournaments/csgo-winter-22/teams/kindred-reborn/matches,University of Kent,1.0
57,UEA Kingfishers,/tournaments/csgo-winter-22/teams/uea-kingfishers/matches,University of East Anglia,50.0
58,Bangor Team 1,/tournaments/csgo-winter-22/teams/bangor-team-1/matches,Bangor University,101.0
59,Falmouth Phoenix B,/tournaments/csgo-winter-22/teams/falmouth-phoenix-b/matches,FXU (Falmouth &amp; Exeter Student's Union),97.0
60,All Good Gaming,/tournaments/csgo-winter-22/teams/kcl-agg/matches,King's College London,96.0
61,BCU TBD,/tournaments/csgo-winter-22/teams/bcu-tbd/matches,Birmingham City University,52.0
62,basically_global,/tournaments/csgo-winter-22/teams/basicallyglobal/matches,University of Lincoln,36.0
63,Bath Plugs,/tournaments/csgo-winter-22/teams/bath-orange/matches,University of Bath,48.0
64,Warwick A Manger,/tournaments/csgo-winter-22/teams/warwick-a-manger/matches,University of Warwick,92.0
65,Cardiff Crusaders V2,/tournaments/csgo-winter-22/teams/cardiff-crusaders-v2/matches,Cardiff University,85.0
66,KCL Cubs,/tournaments/csgo-winter-22/teams/kcl-cubs/matches,King's College London,77.0
67,LSU team 2...,/tournaments/csgo-winter-22/teams/lsu-team-2-electric-boogaloo/matches,Loughborough University,82.0
68,Wouldnt want to BU,/tournaments/csgo-winter-22/teams/wouldnt-want-to-bu/matches,Bournemouth University,40.0
69,Brunel Baddies,/tournaments/csgo-winter-22/teams/brunel-baddies/matches,Brunel University,26.0
70,Chi Challengers,/tournaments/csgo-winter-22/teams/chi-challengers/matches,University of Chichester,117.0
71,Northumbria Vikings,/tournaments/csgo-winter-22/teams/northumbria-vikings/matches,Northumbria University,70.0
72,Keele Krakens Blue,/tournaments/csgo-winter-22/teams/keele-krakens-blue/matches,Keele University,78.0
73,LSE Leviathans CS,/tournaments/csgo-winter-22/teams/lse-leviathans-cs/matches,London School of Economics,112.0
74,KCL TaoTie,/tournaments/csgo-winter-22/teams/kings-loong-gaming/matches,King's College London,74.0
75,Sussex Sharks Green,/tournaments/csgo-winter-22/teams/sussex-sharks-green/matches,University of Sussex,69.0
76,Triple Accredited,/tournaments/csgo-winter-22/teams/triple-accredited/matches,Lancaster University,38.0
77,Team 155,,,
78,Aberdeen Aimstars,/tournaments/csgo-winter-22/teams/aberdeen-aimstars/matches,University of Aberdeen,73.0
79,Warwick Chipmunks,/tournaments/csgo-winter-22/teams/warwick-chipmunks/matches,University of Warwick,1.0
80,King and Kentry,/tournaments/csgo-winter-22/teams/king-and-kentry/matches,University of Kent,107.0
81,The Flashbang Foxes,/tournaments/csgo-winter-22/teams/the-flashbang-foxes/matches,University of Liverpool,120.0
82,Kebab Rush B...,/tournaments/csgo-winter-22/teams/nonce-squad/matches,Coventry University,76.0
83,UoG G Spotters,/tournaments/csgo-winter-22/teams/uog-g-spotters/matches,University of Gloucestershire,79.0
84,Strapybara,/tournaments/csgo-winter-22/teams/strapybara/matches,University of Warwick,63.0
85,Hallam Hydras,/tournaments/csgo-winter-22/teams/hallam-hydras-v2/matches,Sheffield Hallam University,131.0
86,UWE Sea Stags Black,/tournaments/csgo-winter-22/teams/uwe-sea-stags-black/matches,University of the West of England,28.0
87,Plymouth...,/tournaments/csgo-winter-22/teams/plymouth-leviathans-b-team/matches,University of Plymouth,100.0
88,Durham Dingles,/tournaments/csgo-winter-22/teams/durham-dingles/matches,Durham University,81.0
89,Sussex Sharks Blue,/tournaments/csgo-winter-22/teams/sussex-sharks-blue/matches,University of Sussex,64.0
90,RoyalBearsCSGO,/tournaments/csgo-winter-22/teams/royalbearscsgo/matches,"Royal Holloway, University of London",44.0
91,Strathers B,/tournaments/csgo-winter-22/teams/strathers-b/matches,University of Strathclyde,87.0
92,York Fourth,/tournaments/csgo-winter-22/teams/york-fourth/matches,University of York,94.0
93,RejExeter,/tournaments/csgo-winter-22/teams/rejexeter/matches,University of Exeter,95.0
94,Kent Win a Single...,/tournaments/csgo-winter-22/teams/kent-win-a-single-game/matches,University of Kent,103.0
95,Salford Lions,/tournaments/csgo-winter-22/teams/salford-lions/matches,University of Salford,49.0
96,UoB Esports Team 2,/tournaments/csgo-winter-22/teams/uob-esports-team-2/matches,University of Birmingham,55.0
97,York Vikings,/tournaments/csgo-winter-22/teams/york-vikings/matches,University of York,72.0
98,Nott Nott Whos There,/tournaments/csgo-winter-22/teams/nott-2/matches,University of Nottingham,108.0
99,Toronto Syrup...,/tournaments/csgo-winter-22/teams/toronto-syrup-surfers/matches,University of Warwick,125.0
100,UWE Sea Stags Red,/tournaments/csgo-winter-22/teams/uwe-sea-stags-red/matches,University of the West of England,104.0
101,T3HE,/tournaments/csgo-winter-22/teams/t3h3/matches,University of Leeds,71.0
102,FiggleBottom,/tournaments/csgo-winter-22/teams/figglebottom/matches,University of Warwick,98.0
