University,Total Points,Overwatch,R6: Siege,DOTA 2,VALORANT,CS:GO,Rocket League,League of Legends,Fortnite
Aston University,273.0524541319197,,16.95,,104.92614379084966,37.13157894736842,19.543478260869566,88.50125313283209,6.0
Oxford University,271.0717884330426,165.90070921985816,,,6.977777777777778,,42.18421052631579,56.00909090909091,
Liverpool John Moores University,260.51454905946116,11.853658536585366,,,128.33464052287582,,102.40625,17.92,
University of Abertay Dundee,258.3686916759985,135.8590425531915,16.95,,91.03333333333332,,,14.526315789473683,
University of Cambridge,242.12107921318446,61.52777777777778,,14.5,0.0,84.0,42.18421052631579,39.90909090909091,
University of Salford,241.81237094737517,24.23404255319149,,,6.977777777777778,30.75675675675676,144.59046052631578,17.92,17.333333333333332
Glasgow Caledonian University,236.85130718954247,61.52777777777778,,,30.323529411764707,145.0,,,
University of Hull,230.87498268027792,123.47865853658536,50.90476190476191,,6.977777777777778,,8.894736842105264,40.61904761904762,
Birmingham City University,218.40416795564659,48.46808510638298,,,91.03333333333332,37.13157894736842,19.543478260869566,17.92,
Birmingham City University,218.40416795564659,48.46808510638298,,,91.03333333333332,37.13157894736842,19.543478260869566,4.307692307692308,
University of Hertfordshire,218.16905066682543,,,,30.323529411764707,37.13157894736842,8.0,106.7139423076923,36.0
University of Strathclyde,213.41852723731174,61.52777777777778,,,30.323529411764707,52.5099573257468,28.43821510297483,40.61904761904762,
FXU (Falmouth &amp; Exeter Student's Union),211.08392650179172,36.08770108977686,,,13.955555555555556,121.1315789473684,,39.90909090909091,
University of St Andrews,191.25704211509165,61.52777777777778,,21.2,60.64705882352941,,,47.88220551378446,
University of Chichester,186.36991755815288,61.52777777777778,67.8547619047619,,37.30130718954248,15.37837837837838,,4.307692307692308,
University of Essex,181.97630718954247,111.625,16.95,,37.30130718954248,,,16.1,
Northumbria University,172.33683969951,24.23404255319149,1.0,,30.323529411764707,37.13157894736842,61.72768878718536,17.92,
University of the Arts London,169.44821953114638,11.853658536585366,106.4,,6.977777777777778,,,44.21678321678321,
University of Derby,167.2593401722391,24.23404255319149,,,0.0,,102.40625,40.61904761904762,
University of Huddersfield,164.25443486765693,23.70731707317073,,,91.03333333333332,,8.894736842105264,40.61904761904762,
London School of Economics,146.5156067251462,,,,6.977777777777778,37.13157894736842,,102.40625,
Leeds Beckett University,141.29867561059513,61.52777777777778,,,30.323529411764707,,42.18421052631579,7.263157894736842,
University of Westminster,137.33768631436314,11.853658536585366,,,6.977777777777778,,,118.50625,
Teesside University,133.47862426271323,85.23509485094851,,,30.323529411764707,,,17.92,
podbotsasdas,120.7,,,,,120.7,,,
University of West London,107.44790993083677,11.853658536585366,50.90476190476191,,6.977777777777778,15.37837837837838,8.0,,14.333333333333332
Bath Spa University,92.2274671716482,36.08770108977686,,,13.955555555555556,,42.18421052631579,,
University of Northampton,90.37562379509086,36.08770108977686,,11.666666666666666,6.977777777777778,,19.543478260869566,16.1,
Bangor University,88.26339927833769,24.23404255319149,,,6.977777777777778,37.13157894736842,,17.92,2.0
Aberystwyth University,84.33825307950728,24.23404255319149,,,0.0,,42.18421052631579,17.92,
University of Stirling,66.83493292053664,,16.95,,30.323529411764707,,8.894736842105264,,10.666666666666666
University of Dundee,65.41808510638297,48.46808510638298,16.95,,0.0,,,,
"Goldsmiths, University of London",37.30130718954248,,,,37.30130718954248,,,,
Ulster University,37.13157894736842,,,,,37.13157894736842,,,
University of South Wales,37.13157894736842,,,,,37.13157894736842,,,
York St John University,35.5609756097561,35.5609756097561,,,0.0,,,,
College of Esports,31.397136797454934,11.853658536585366,,,,,19.543478260869566,,
University of Brighton,31.211820330969267,24.23404255319149,,,6.977777777777778,,,,
Anglia Ruskin University,30.905555555555555,,16.95,,13.955555555555556,,,,
University of Winchester,30.51783723522854,,,,,,19.543478260869566,4.307692307692308,6.666666666666666
University of Gloucestershire,30.35615615615616,,,,6.977777777777778,15.37837837837838,8.0,,
Watt Wyverns,30.323529411764707,,,,30.323529411764707,,,,
Buckinghamshire New University,30.323529411764707,,,,30.323529411764707,,,,
Kingston University,30.323529411764707,,,,30.323529411764707,,,,
London South Bank University,30.323529411764707,,,,30.323529411764707,,,,
School of Oriental and African Studies,30.323529411764707,,,,30.323529411764707,,,,
Southampton Solent University,29.494684177611003,11.853658536585366,,,0.0,,8.0,4.307692307692308,5.333333333333333
University of Sunderland,24.89777777777778,,,,6.977777777777778,,,17.92,
University of Bedfordshire,24.23404255319149,24.23404255319149,,,,,,,
UK,17.92,,,,,,,17.92,
Oxford Brookes University,16.1,,,,,,,16.1,
Royal Veterinary College,16.1,,,,,,,16.1,
University of Aberdeen,15.37837837837838,,,,,15.37837837837838,,,
Leeds Conservatoire,11.853658536585366,11.853658536585366,,,,,,,
Edge Hill University,7.263157894736842,,,,,,,7.263157894736842,
London Metropolitan University,6.977777777777778,,,,6.977777777777778,,,,
Cardiff Metropolitan University,6.977777777777778,,,,6.977777777777778,,,,
Watt are you doing  in my swamp,6.977777777777778,,,,6.977777777777778,,,,
"University for the Creative Arts, Surrey",6.977777777777778,,,,6.977777777777778,,,,
