University,Total Points,Overwatch,R6: Siege,DOTA 2,VALORANT,CS:GO,Rocket League,League of Legends
University of St Andrews,83.29265771404727,,,7.0,46.46507150715072,,,29.82758620689655
University of Huddersfield,79.77758620689656,11.088888888888889,,,38.86111111111112,,,29.82758620689655
University of Sunderland,79.77758620689656,11.088888888888889,,,38.86111111111112,,,29.82758620689655
University of West London,78.07232082964394,11.088888888888889,14.6,,7.603960396039604,13.48780487804878,30.666666666666668,0.625
Bath Spa University,75.01336210544132,36.74273504273504,,,7.603960396039604,,30.666666666666668,
Anglia Ruskin University,74.24958745874586,,59.04166666666666,,15.207920792079207,,,
Bangor University,68.73105204096136,36.74273504273504,,,7.603960396039604,13.48780487804878,,10.89655172413793
University of Stirling,65.23888888888891,,14.6,,38.86111111111112,,11.77777777777778,
University of Gloucestershire,52.383431940755045,,,,7.603960396039604,13.48780487804878,30.666666666666668,0.625
York St John University,48.52051282051282,36.74273504273504,,,0.0,,11.77777777777778,
College of Esports,41.75555555555556,11.088888888888889,,,,,30.666666666666668,
Ulster University,40.97560975609756,,,,,40.97560975609756,,
Kingston University,39.48611111111112,,,,38.86111111111112,,,0.625
University of Winchester,39.44444444444444,,,,,,30.666666666666668,8.777777777777779
London South Bank University,38.86111111111112,,,,38.86111111111112,,,
University of Bedfordshire,25.201693766937666,11.088888888888889,,,0.0,13.48780487804878,,0.625
Southampton Solent University,24.931280193236717,11.088888888888889,,,0.0,,13.217391304347826,0.625
Oxford Brookes University,13.842391304347826,,,,,,13.217391304347826,0.625
University of Aberdeen,13.48780487804878,,,,,13.48780487804878,,
University of South Wales,13.48780487804878,,,,,13.48780487804878,,
Leeds Conservatoire,11.088888888888889,11.088888888888889,,,,,,
Royal Veterinary College,8.777777777777779,,,,,,,8.777777777777779
"University for the Creative Arts, Surrey",7.603960396039604,,,,7.603960396039604,,,
Cardiff Metropolitan University,7.603960396039604,,,,7.603960396039604,,,
Buckinghamshire New University,7.603960396039604,,,,7.603960396039604,,,
School of Oriental and African Studies,7.603960396039604,,,,7.603960396039604,,,
London Metropolitan University,7.603960396039604,,,,7.603960396039604,,,
University of Brighton,0.0,,,,0.0,,,
Leeds Trinity University,0.0,,,,0.0,,,
