,Team 1,University
0,Warwick Duckz,University of Warwick
1,Team 3,
2,UCL Instant Reflex,University College London
3,UWE Game Gamers,University of the West of England
4,LancVortex,Lancaster University
5,Team ACHILLESGOD...,Durham University
6,QUBloodseekers,Queen's University Belfast
7,Team 15,
8,Southampton or...,University of Southampton
9,Sharkie,University of Sussex
10,Bullring of Health,University of Birmingham
11,Blood Bath,University of Bath
12,UEA BlueJays,University of East Anglia
13,Sheffield Samurai,University of Sheffield
14,Hallam Hamsters,Sheffield Hallam University
15,Glasgow Glizzies,University of Glasgow
16,KCL Lions 2022,King's College London
17,B R I Z B O Y S,University of Bristol
18,Blink Hexeter,University of Exeter
19,Team 39,
20,Imperial Bonobos,Imperial College London
21,Trent Thunder Dota 2,Nottingham Trent University
22,LancHurricane,Lancaster University
23,UCL Alacrity,University College London
24,Liverpool Arctic...,University of Liverpool
25,Swansea Storm The...,Swansea University
26,Sheffield Shockwave,University of Sheffield
27,Warwick Ducklings,University of Warwick
28,St Andrews Dota 2,University of St Andrews
29,Staffordshire Sixers,Staffordshire University
30,Match #86089 Winner,
31,Cambridge Dota,University of Cambridge
32,Loughborough Dota,Loughborough University
33,Team 67,
34,Cardiff Crusaders,Cardiff University
35,UoN Gorillas,University of Northampton
36,Burning Iguanas,University of York
37,Match #86089 Loser,
38,Lincoln Dota,University of Lincoln
39,Cockatrices,"City, University of London"
40,Staffordshire...,Staffordshire University
41,Sheffield Slugs,University of Sheffield
42,Royal Bears,"Royal Holloway, University of London"
43,Team 87,
44,Plymouth Leviathans,University of Plymouth
45,Swasnea Storm...,Swansea University
