,Points
University College London,185.83333333333334
Lancaster University,144.85
University of Warwick,144.85
University of the West of England,126.75
University of Sheffield,87.18333333333334
King's College London,80.18333333333334
Swansea University,67.58333333333334
University of Southampton,60.583333333333336
Sheffield Hallam University,60.583333333333336
University of Sussex,60.583333333333336
Imperial College London,60.583333333333336
Durham University,60.583333333333336
University of Bath,60.583333333333336
University of Birmingham,60.583333333333336
Queen's University Belfast,60.583333333333336
Staffordshire University,26.6
Nottingham Trent University,19.6
"City, University of London",19.6
University of Lincoln,19.6
University of Glasgow,19.6
University of Northampton,19.6
University of Exeter,19.6
University of Bristol,19.6
University of Liverpool,19.6
University of York,19.6
University of East Anglia,19.6
"Royal Holloway, University of London",7.0
Heriot-Watt University,7.0
University of Cambridge,7.0
Cardiff University,7.0
University of St Andrews,7.0
Loughborough University,7.0
University of Plymouth,1.5
