,Team Name,Team url,University,Seeds,Uni seeds
0,Swansea Storm,/tournaments/rocket-league-winter-22-south/teams/swansea-storm/matches,Swansea University,10.0,1
1,Universally...,/tournaments/rocket-league-winter-22-south/teams/universally-challenged/matches,University of Southampton,3.0,1
2,Team 5,,,,0
3,UCL first,/tournaments/rocket-league-winter-22-south/teams/ucl-first/matches,University College London,8.0,1
4,Cardiff CBA,/tournaments/rocket-league-winter-22-south/teams/cardiff-cba/matches,Cardiff University,14.0,2
5,Team 11,,,,0
6,Portsmouth Pancakes,/tournaments/rocket-league-winter-22-south/teams/portsmouth-pancakes/matches,University of Portsmouth,6.0,1
7,Cardiff Crusaders,/tournaments/rocket-league-winter-22-south/teams/cardiff-crusaders/matches,Cardiff University,17.0,3
8,Cambridge Ravens,/tournaments/rocket-league-winter-22-south/teams/cambridge-ravens/matches,University of Cambridge,2.0,1
9,Sussex Sharks,/tournaments/rocket-league-winter-22-south/teams/sussex-sharks/matches,University of Sussex,1.0,1
10,Exeter Gently,/tournaments/rocket-league-winter-22-south/teams/exeter-gently/matches,University of Exeter,27.0,3
11,Perplexeter,/tournaments/rocket-league-winter-22-south/teams/perplexeter/matches,University of Exeter,26.0,2
12,Team 25,,,,0
13,UWE Sea Stags Black,/tournaments/rocket-league-winter-22-south/teams/uwe-sea-stags-black/matches,University of the West of England,30.0,2
14,Soton Slayers,/tournaments/rocket-league-winter-22-south/teams/soton-slayers/matches,University of Southampton,13.0,3
15,Plymouth Leviathans,/tournaments/rocket-league-winter-22-south/teams/plymouth-leviathans/matches,University of Plymouth,4.0,1
16,Swansea Sausage...,/tournaments/rocket-league-winter-22-south/teams/swansea-sausage-rolls/matches,Swansea University,21.0,2
17,BSU,/tournaments/rocket-league-winter-22-south/teams/bsu/matches,Bath Spa University,7.0,1
18,IC Skies of Blue,/tournaments/rocket-league-winter-22-south/teams/ic-skies-of-blue/matches,Imperial College London,18.0,1
19,Warwick Rolled,/tournaments/rocket-league-winter-22-south/teams/warwick-rolled/matches,University of Warwick,52.0,6
20,Hertfordshire Hares,/tournaments/rocket-league-winter-22-south/teams/hertfordshire-hares/matches,University of Hertfordshire,50.0,1
21,Bath Bombs,/tournaments/rocket-league-winter-22-south/teams/bath-bombs/matches,University of Bath,16.0,2
22,Reading Knights,/tournaments/rocket-league-winter-22-south/teams/reading-knights/matches,University of Reading,32.0,1
23,Soton Dez Nuts,/tournaments/rocket-league-winter-22-south/teams/soton-dez-nuts/matches,University of Southampton,22.0,6
24,Roehampton...,/tournaments/rocket-league-winter-22-south/teams/roehampton-esports-black/matches,Roehampton University,43.0,2
25,SVGE 69FPS,/tournaments/rocket-league-winter-22-south/teams/svge-69fps/matches,University of Southampton,11.0,2
26,Surrey not surrey,/tournaments/rocket-league-winter-22-south/teams/surrey-not-surrey/matches,University of Surrey,9.0,1
27,Team 55,,,,0
28,Warwick 163...,/tournaments/rocket-league-winter-22-south/teams/warwick-163-cherry-tree-drive/matches,University of Warwick,47.0,5
29,The Peeping Toms,/tournaments/rocket-league-winter-22-south/teams/the-peeping-toms-1288/matches,Coventry University,28.0,1
30,Warwick Treeflop,/tournaments/rocket-league-winter-22-south/teams/warwick-treeflop/matches,University of Warwick,12.0,2
31,Portsmouth...,/tournaments/rocket-league-winter-22-south/teams/portsmouth-pillocks-v2/matches,University of Portsmouth,31.0,5
32,Soton Sharks,/tournaments/rocket-league-winter-22-south/teams/soton-sharks/matches,University of Southampton,41.0,7
33,Swansea...,/tournaments/rocket-league-winter-22-south/teams/swansea-stormtroopers/matches,Swansea University,51.0,4
34,Kchung and the Krew,/tournaments/rocket-league-winter-22-south/teams/kchung-and-the-krew/matches,University of Southampton,20.0,5
35,Portsmouth Plonkers,/tournaments/rocket-league-winter-22-south/teams/portsmouth-parsnips/matches,University of Portsmouth,35.0,6
36,KCL LIONS,/tournaments/rocket-league-winter-22-south/teams/kcl-lions/matches,King's College London,49.0,2
37,Imperial March,/tournaments/rocket-league-winter-22-south/teams/imperial-march/matches,Imperial College London,55.0,4
38,Touch ball Score...,/tournaments/rocket-league-winter-22-south/teams/touch-ball-score-goal/matches,Brunel University,39.0,1
39,0 Past 2,/tournaments/rocket-league-winter-22-south/teams/0-past-2/matches,Imperial College London,38.0,3
40,UWE Sea Stags White,/tournaments/rocket-league-winter-22-south/teams/uwe-sea-stags-white/matches,University of the West of England,42.0,4
41,Solent Seagulls,/tournaments/rocket-league-winter-22-south/teams/solent-seagulls/matches,Southampton Solent University,58.0,1
42,London Legion,/tournaments/rocket-league-winter-22-south/teams/london-legion/matches,College of Esports,29.0,1
43,Team 87,,,,0
44,UWL Wyverns,/tournaments/rocket-league-winter-22-south/teams/uwl-wyverns/matches,University of West London,45.0,1
45,Kent Kings,/tournaments/rocket-league-winter-22-south/teams/kent-kings/matches,University of Kent,25.0,2
46,Portsmouth Penguins,/tournaments/rocket-league-winter-22-south/teams/portsmouth-penguins/matches,University of Portsmouth,23.0,3
47,KCL CHAOS,/tournaments/rocket-league-winter-22-south/teams/kcl-chaos/matches,King's College London,40.0,1
48,Northampton Knights,/tournaments/rocket-league-winter-22-south/teams/northampton-knights-/matches,University of Northampton,33.0,1
49,Winchester Wraiths,/tournaments/rocket-league-winter-22-south/teams/winchester-wasps/matches,University of Winchester,34.0,1
50,Reading Knights B,/tournaments/rocket-league-winter-22-south/teams/regain/matches,University of Reading,53.0,2
51,UCL Benthams Babes,/tournaments/rocket-league-winter-22-south/teams/ucl-benthams-babes/matches,University College London,61.0,2
52,Godiving into...,/tournaments/rocket-league-winter-22-south/teams/the-peeping-toms/matches,Coventry University,60.0,2
53,RHUL Royal League,/tournaments/rocket-league-winter-22-south/teams/rhul-royal-league/matches,"Royal Holloway, University of London",54.0,1
54,Two Man Army,/tournaments/rocket-league-winter-22-south/teams/the-penetrators/matches,Swansea University,48.0,3
55,Westminster Dragons,/tournaments/rocket-league-winter-22-south/teams/westminster-dragons/matches,University of Westminster,61.0,1
56,Team 113,,,,0
57,The Dirty Ducks...,/tournaments/rocket-league-winter-22-south/teams/warwick-9s/matches,University of Warwick,56.0,7
58,What do we think...,/tournaments/rocket-league-winter-22-south/teams/what-do-we-think-of-tottenham/matches,Bournemouth University,46.0,2
59,Chicken Tikka Surrey,/tournaments/rocket-league-winter-22-south/teams/chicken-tikka-surrey/matches,University of Surrey,62.0,2
60,UWE Sea Stags Hot...,/tournaments/rocket-league-winter-22-south/teams/uwe-sea-stags-hot-pink/matches,University of the West of England,36.0,3
61,SussexThreshers,/tournaments/rocket-league-winter-22-south/teams/sussexthreshers/matches,University of Sussex,37.0,2
62,Portsmouth...,/tournaments/rocket-league-winter-22-south/teams/portsmouth-persian-melons/matches,University of Portsmouth,57.0,7
63,Untouchaballs,/tournaments/rocket-league-winter-22-north/teams/untouchaballs-/matches,Nottingham Trent University,13.0,2
