,Points
Warwick,30.0
Birmingham,25.0
Loughborough,20.0
Swansea,18.0
Royal Holloway,14.0
Falmouth,8.0
Sussex,6.0
Reading,5.0
Teesside,5.0
Imperial,4.0
Anglia Ruskin,4.0
Abertay Dundee,3.0
Birmingham City,2.0
Sheffield Hallam,2.0
Bath Spa,1.0
De Montfort,1.0
