,Team 1,University
0,Keele Krakens A,Keele University
1,DMU FOXES,De Montfort University
2,UEA Bluejays,University of East Anglia
3,Salford not Lions,University of Salford
4,Team 9,
5,Trent Thunder...,Nottingham Trent University
6,Return to Monke,Liverpool John Moores University
7,Loughborough Lions,Loughborough University
8,York Pun Name,University of York
9,Staffordshire...,Staffordshire University
10,Staffordshire...,Staffordshire University
11,Asston,Aston University
12,Der Baby,University of Derby
13,Lincoln A,University of Lincoln
14,Manchester Mermaids,University of Manchester
15,Loughborough...,Loughborough University
16,UoB Bottlers,University of Birmingham
17,Couldnt Care Leic,University of Leicester
18,Hallam Hammerheads,Sheffield Hallam University
19,Olivia Rodrigo Fans,University of Leeds
20,Newcastle Ninjas...,Newcastle University
21,Team 43,
22,UoB Circos,University of Birmingham
23,Watt is going on,Heriot-Watt University
24,Edinburgh Eclipse,University of Edinburgh
25,BCU BREEZ,Birmingham City University
26,Manchester Frenzy,University of Manchester
27,Yorkshire Tea,University of York
28,QUB Monarchs,Queen's University Belfast
29,Lobby 75,University of Birmingham
30,Lancaster League,Lancaster University
31,Glasgow Grizzlies,University of Glasgow
32,Durham Defenders,Durham University
33,big boi 10,University of York
34,Three Big Manly Men,University of Nottingham
35,Good Soupz,University of Leeds
36,Beckett Bears,Leeds Beckett University
37,Durham Demons,Durham University
38,Abertay Esports,University of Abertay Dundee
39,Lankers B_est team,Lancaster University
40,Trenticles,Nottingham Trent University
41,LiverPeaked,University of Liverpool
42,Leic is More,University of Leicester
43,Lboro Clangers,Loughborough University
44,UOS Lions,University of Sheffield
45,TrentyFour 7,Nottingham Trent University
46,Newcastle Nitros,Newcastle University
47,Glasgow FD,University of Glasgow
48,D3fenceless Durham,Durham University
49,Salford Washed,University of Salford
50,Team 101,
51,Strathers C,University of Strathclyde
52,Northumbria...,Northumbria University
53,Sheffield Saints,Sheffield Hallam University
54,QUB Queen Bees,Queen's University Belfast
55,Peter Gryphons,University of Leeds
56,QUB RAMS,Queen's University Belfast
57,Elevated Fennec,University of Birmingham
58,UoL Arctic Foxes A,University of Liverpool
59,Edinballers,University of Edinburgh
60,Untouchaballs,Nottingham Trent University
61,QUB Dynasty,Queen's University Belfast
62,Keele Krakens C,Keele University
63,grUEA,University of East Anglia
64,Staffs Sixers Red,Staffordshire University
65,Trentifiable,Nottingham Trent University
66,Lboro Echos,Loughborough University
67,AA ANGELS,Aston University
68,Own Goalers,University of Sheffield
69,University of...,University of Stirling
70,Liverpool Arctic...,University of Liverpool
71,Northumbria Noodles,Northumbria University
72,Happier Happy...,University of Lincoln
73,Ez4Edinburgh,University of Edinburgh
74,GirlfriendLeic,University of Leicester
75,Manchester Maneaters,University of Manchester
76,team number q,York St John University
77,Newcastle Noobs,Newcastle University
78,Team 157,
79,five2manny,University of Manchester
80,Manchester...,University of Manchester
81,SuperCali,Glasgow Caledonian University
82,Hallam Hawks,Sheffield Hallam University
83,Keele Krakens D,Keele University
84,Salford Lions OW,University of Salford
85,Cookies,Northumbria University
86,50 Trent,Nottingham Trent University
87,HullPoint,University of Hull
88,Strathers A,University of Strathclyde
89,Broom Broom,University of Lincoln
90,Durham Traffic...,Durham University
91,Huddersfield...,University of Huddersfield
92,Air Roll Awkward,University of Birmingham
93,Team 187,
94,Liverpool Team B,University of Liverpool
95,Lankers C_hamps,Lancaster University
96,Trentalicious,Nottingham Trent University
