,Points
Swansea University,254.3083333333333
Durham University,136.225
Staffordshire University,121.625
University of the Arts London,121.625
Nottingham Trent University,121.625
"Royal Holloway, University of London",121.625
Heriot-Watt University,121.625
University of Nottingham,121.625
University of Warwick,118.08333333333333
Imperial College London,73.64166666666667
University of Edinburgh,73.64166666666667
University of Liverpool,73.64166666666667
Coventry University,61.32738095238095
University of Birmingham,61.32738095238095
Aston University,59.041666666666664
Newcastle University,59.041666666666664
Cardiff University,59.041666666666664
University of Leeds,59.041666666666664
University of Reading,59.041666666666664
University of Hull,59.041666666666664
University of Leicester,59.041666666666664
Anglia Ruskin University,59.041666666666664
Loughborough University,59.041666666666664
"City, University of London",59.041666666666664
University of the West of England,59.041666666666664
University of Bristol,59.041666666666664
Bournemouth University,59.041666666666664
Queen's University Belfast,59.041666666666664
University of Kent,59.041666666666664
University of Portsmouth,31.485714285714284
University of Exeter,29.2
University of Southampton,29.2
University of Chichester,29.2
University College London,16.885714285714286
University of Manchester,14.6
Manchester Metropolitan University,14.6
University of West London,14.6
Lancaster University,14.6
King's College London,14.6
University of Bath,14.6
University of Abertay Dundee,14.6
De Montfort University,14.6
University of East Anglia,14.6
University of Stirling,14.6
University of Glasgow,14.6
University of Essex,2.2857142857142856
University of Dundee,2.2857142857142856
Northumbria University,2.2857142857142856
