,Team Name,Team url,University,Seeds,Uni seeds
49,Exeterrible2,/tournaments/rainbow-6-siege-winter-22/teams/exeterrible2/matches,University of Exeter,46.0,2
50,Dundee Kittens,/tournaments/rainbow-6-siege-winter-22/teams/dundee-kittens/matches,University of Dundee,44.0,1
51,Essex Aces Oncilla,/tournaments/rainbow-6-siege-winter-22/teams/essex-aces-oncilla/matches,University of Essex,60.0,1
52,Bruhmmies 2...,/tournaments/rainbow-6-siege-winter-22/teams/bruhmmies-2-electric-boogaloo/matches,University of Birmingham,41.0,2
53,Imperial C Team 2,/tournaments/rainbow-6-siege-winter-22/teams/imperial-c-team-2/matches,Imperial College London,,0
54,Durham Attackers,/tournaments/rainbow-6-siege-winter-22/teams/durham-attackers/matches,Durham University,,0
55,University of...,/tournaments/rainbow-6-siege-winter-22/teams/sgs-stirling/matches,University of Stirling,62.0,1
56,Cygnus Flavus,/tournaments/rainbow-6-siege-winter-22/teams/cygnus-flavus/matches,Swansea University,,0
57,Team 115,,,,0
58,Bath Team 6,/tournaments/rainbow-6-siege-winter-22/teams/bath-team-6/matches,University of Bath,29.0,1
59,Throwchester Hive,/tournaments/rainbow-6-siege-winter-22/teams/throwchester-hive/matches,University of Manchester,27.0,1
60,Portsmouth Pandas,/tournaments/rainbow-6-siege-winter-22/teams/portsmouth-pandas/matches,University of Portsmouth,34.0,2
61,R6 Soton B,/tournaments/rainbow-6-siege-winter-22/teams/r6-soton-b/matches,University of Southampton,,0
62,DMU Crimson,/tournaments/rainbow-6-siege-winter-22/teams/dmu-crimson/matches,De Montfort University,33.0,1
63,Lancaster NSE,/tournaments/rainbow-6-siege-winter-22/teams/lancaster-nse/matches,Lancaster University,56.0,1
64,Liverpooooooooooo...,/tournaments/rainbow-6-siege-winter-22/teams/liverpoooooooooooooooooooooooooooooooool/matches,University of Liverpool,11.0,1
65,Portsmouth Panthers,/tournaments/rainbow-6-siege-winter-22/teams/portsmouth-panthers/matches,University of Portsmouth,64.0,3
66,Plymouth Leviathans,/tournaments/rainbow-6-siege-winter-22/teams/plymouth-leviathans-/matches,University of Plymouth,61.0,1
67,Phoenix Ice,/tournaments/rainbow-6-siege-winter-22/teams/phoenix-ice/matches,Coventry University,51.0,2
68,Team 137,,,,0
69,Valhalla,/tournaments/rainbow-6-siege-winter-22/teams/valhalla/matches,Northumbria University,36.0,1
70,JAME,/tournaments/rainbow-6-siege-winter-22/teams/jame/matches,University College London,49.0,2
